id;title;status;updated
1;"Ajout QA par l'API 7450";;"2020-04-18 15:28:03"
2;"Ajout QA par l'API 7450";published;"2020-04-18 15:40:37"
3;"Ajout QA par l'API 7450";published;"2020-04-18 15:41:37"
4;"Ajout QA par l'API 7450";published;"2020-04-18 15:43:11"
5;"Ajout QA par l'API 7450";published;"2020-04-18 15:45:27"
6;"Ajout QA par l'API 7450";published;"2020-04-18 15:45:50"
7;"Ajout QA par l'API 7450";published;"2020-04-18 15:48:10"
8;"Ajout QA par l'API 7450";published;"2020-04-18 15:53:26"
9;"Ajout QA par l'API 7450";published;"2020-04-18 15:55:45"
10;"Ajout QA par l'API 7450";draft;"2020-04-18 15:57:56"
